אֵאוֹגֶנִיקָה	QeQWgE!niqaH	eoge!nika
אָאוּטִינְג	Qa!QuTing	a!uting
אֵב	Qe!v	e!v
אָב	Qa!v	a!v
אַבָּא	QA!_baQ	a!ba
אֲבָבִית	Qávavi!t	avavi!t
אִבֵּד	QI_be!d	ibe!d
אָבֵד	Qave!d	ave!d
אָבַד	QavA!d	ava!d
אַבָּדַאי	QA_badA!Ny	abada!j
אֲבֵדָה	Qáveda!H	aveda!
אֲבַדּוֹן	QávA_ḍW!n	avado!n
אַבְדָּלָה	QAvḍala!H	avdala!
אׇבְדָן	QOvda!n	ovda!n
אׇבְדָנִי	QOvdani!	ovdani!
אָבָה	Qava!H	ava!
אַבְהוּת	QAvhu!t	avhu!t
אַבָּהוּת	QA_bahu!t	abahu!t
אַבָּהִי	QA_bahi!	abahi!
אַבְהָתָנוּת	QAvhatanu!t	avhatanu!t
אַבְהָתָנִי	QAvhatani!	avhatani!
אַבּוּב	QA_bu!v	abu!v
אַבּוּבִית	QA_buvi!t	abuvi!t
אַבּוּבָן	QA_buva!n	abuva!n
אִבּוּד	QI_bu!d	ibu!d
אָבוּד	Qavu!d	avu!d
אֲבוֹי	QávW!y	avo!j
אָבוּי	Qavu!y	avu!j
אִבּוּךְ	QI_bu!x	ibu!x
אִבּוּל	QI_bu!l	ibu!l
אֵבוֹלוּצְיָה	QevWlu!ZyaH	evolu!tsja
אֶבוֹלוּצְיוֹנִי	QEvWluZ3yW!ni	evolutsjo!ni
אִבּוּן	QI_bu!n	ibu!n
אֵבוּס	Qevu!s	evu!s
אָבוּס	Qavu!s	avu!s
אִבּוּץ	QI_bu!Z	ibu!ts
אִבּוּק	QI_bu!q	ibu!k
אָבוֹקָדוֹ	QavWqa!dW	avoka!do
אֲבוּקָה	Qávuqa!H	avuka!
אִבְזוּר	QIvzu!r	ivzu!r
אַבְזָם	QAvza!m	avza!m
אֲבִזָר	QávIza!r	aviza!r
אַבְזָר	QAvza!r	avza!r
אֻבְזַר	QUvzA!r	uvza!r
אִבְחָה	QIvja!H	ivxa!
אִבְחוּן	QIvju!n	ivxu!n
אִבְחוּנִי	QIvjuni!	ivxuni!
אִבְחֵן	QIvje!n	ivxe!n
אֻבְחַן	QUvjA!n	uvxa!n
אַבְחָנָה	QAvjana!H	avxana!
אַבְחָנָתִי	QAvjanati!	avxanati!
אִבְטוּחַ	QIvTu!jÁ	ivtu!ax
אִבְטֵחַ	QIvTe!jÁ	ivte!ax
אֻבְטַח	QUvTA!j	uvta!x
אַבְטָחָה	QAvTaja!H	avtaxa!
אֲבַטִּיחַ	QávA_Ti!jÁ	avati!ax
אַבְטִיפּוּס	QAvTi_pu!s	avtipu!s
אִבְטֵל	QIvTe!l	ivte!l
אַבְטָלָה	QAvTala!H	avtala!
אָבִיב	Qavi!v	avi!v
אֲבִיבִי	Qávivi!	avivi!
אֲבִיָּה	QávI_ya!H	avija!
אֶבְיוֹן	QEvyW!n	evjo!n
אֶבְיוֹנוּת	QEvyWnu!t	evjonu!t
אֲבִיזָר	Qáviza!r	aviza!r
אָבִיךְ	Qavi!x	avi!x
אֲבִיסָה	Qávisa!H	avisa!
אַבִּיק	QA_bi!q	abi!k
אָבִיק	Qavi!q	avi!k
אַבִּיר	QA_bi!r	abi!r
אַבִּירוּת	QA_biru!t	abiru!t
