repr	class	index	dotted	pos	root	affix	affix_allomorph	gender	number	comment	singular_suffix	plural_suffix	phonemic	paradigm	checked	is_foreign	latin
73fali!m	noun	0	טְפָלִים	noun	Tfl			z	plurale_tantum		-		tfali!m		false	false	Tfali!m
73fi!	noun	0	טְפִי	noun	tfy	m_q37i!	-				-		tfi!	b_qoshi	true	false	T3fi!
73fifa!H	noun	0	טְפִיפָה	noun	Tff	m_q37ila!H	-	n			a!H	Wt	tfifa!	b_sus	true	false	Tfifa!
73fija!H	noun	0	טְפִיחָה	noun	Tfj	m_q37ila!H	-	n			a!H	Wt	tfixa!	b_sus	true	false	Tfica!
73fila!H	noun	0	טְפִילָה	noun	Tfl	m_q37ila!H	-	n			a!H	Wt	tfila!	b_sus	true	false	Tfila!
73hira!H	noun	0	טְהִירָה	noun	Thr	m_q37ila!H	-	n			a!H	Wt	tehira!	b_sus	true	false	Tehira!
73ja!v	noun	0	טְחָב	noun	Tjv	m_q37a!l	-	z			-	im	têxa!v	b_dat	true	false	T3ca!v
73jina!H	noun	0	טְחִינָה	noun	Tjn	m_q37ila!H	-	n			a!H	Wt	txina!	b_sus	true	false	Tcina!
73jina!H m3leQa!H	noun	0		noun				n					txina! melea!		false	false	Tcina! melea!
73jW!l	noun	0	טְחוֹל	noun	Tjl			z	-		-	im	txo!l	b_sus	false	false	Tco!l
73jW!r	noun	0	טְחוֹר	noun	Tjr	m_q37W!l	-	z			-	im	txo!r	b_paqid	true	false	Tco!r
73jWri!m	noun	0	טְחוֹרִים	noun	Tjr			z	plurale_tantum		-		txori!m	b_paqid	false	false	Tcori!m
73lA!Ny	noun	0	טְלַאי	noun	TlQ	m_q37a!l	*3*A!Ny	z			A!Ny	im	tla!y	b_sus	false	false	Tla!y
73mina!H	noun	0	טְמִינָה	noun	Tmn	m_q37ila!H	-	n			a!H	Wt	tmina!	b_sus	true	false	Tmina!
73miRa!H	noun	0	טְמִיעָה	noun	TmR	m_q37ila!H	-	n			a!H	Wt	tmia!	b_sus	true	false	Tmiâ!
73ni!	noun	0	טְנִי	noun	Tny	m_q37i!	-	z			-		têni!	b_gdi	true	false	Tni!
73RanW!t umARánW!t	noun	0	טְעָנוֹת וּמַעֲנוֹת	noun									teano!t umaano!t		false	false	Teâno!t umaâno!t
73refa!H	noun	0	טְרֵפָה	noun	Trf	m_q37ela!H	-	n			a!H	Wt	trefa!		true	false	Trefa!
73rEmpI_ya!NdaH	noun	0	טְרֶמְפִּיָּאדָה	noun				n			a!H	Wt	trempiya!da	f_banana	false	false	Trempiya!da
73rida!H	noun	0	טְרִידָה	noun	Trd	m_q37ila!H	-	n			a!H	Wt	trida!	b_sus	true	false	Trida!
73ridA!t ru!jÁ	noun	0		noun				z					trida!t ru!ax		false	false	Trida!t ru!ac
73ridA!t zE!rEm	noun	0		noun				z					trida!t ze!rem		false		Trida!t ze!rem
73rifa!H	noun	0	טְרִיפָה	noun	Trf	m_q37ila!H	-	n			a!H	Wt	trifa!	b_sus	true	false	Trifa!
73rifA!t QWtI_yW!t	noun	0	טְרִיפַת אוֹתִיּוֹת	noun									trifa!t otiyo!t		false		Trifa!t otiyo!t
73rija!H	noun	0	טְרִיחָה	noun	Trj	m_q37ila!H	-	n			a!H	Wt	trixa!	b_sus	true	false	Trica!
73Rima!H	noun	0	טְעִימָה	noun	TRm	m_q37ila!H	-	n			a!H	Wt	teima!	b_sus	true	false	Teîma!
73Rina!H	noun	0	טְעִינָה	noun	TRn	m_q37ila!H	-	n			a!H	Wt	teina!	b_sus	true	false	Teîna!
73riqa!H	noun	0	טְרִיקָה	noun	Trq	m_q37ila!H	-	n			a!H	Wt	trika!	b_sus	true	false	Triqa!
73riQAtlW!n	noun	0	טְרִיאַתְלוֹן	noun				z			-	im	triatlo!n	f_atom	false	true	Triatlo!n
73ri!t	noun	0	טְרִית	noun				n			-	Wt	tri!t	b_sus	false		Tri!t
73RI_ya!H	noun	0	טְעִיָּה	noun	TRy	m_q37ila!H	-	n			a!H	Wt	teiya!	b_sus	true	false	Teîya!
73rI_yu!t	noun	0	טְרִיּוּת	noun		s_ut		n			u!t	Wt	triyu!t	b_sus	false	false	Triyu!t
