repr	class	index	pos	pwn31	dbpedia	comment	wikidata	he_wiki	context	register	dating	frequency	babelnet	other	en_wiktionary
73ja!v	noun	0	noun	11557957-n											
73jina!H	noun	0	noun		Tahini										
73jW!l	noun	0	noun		Spleen										
73lA!Ny	noun	0	noun	03903640-n											
73rifa!H	noun	0	noun		Predation										
73rifA!t QWtI_yW!t	noun	0	noun	06298291-n											
73riQAtlW!n	noun	0	noun		Triathlon										
73ri!z	noun	0	noun		Wedge										
73vila!H	noun	0	noun		Baptism										
73viRa!H	noun	0	noun		Drowning										
73viRA!t QEZbaRW!t	noun	0	noun	06657156-n											
73viRA!t rE!gEl	noun	0	noun	06659617-n											
73viRA!t rE!gEl	noun	0	noun	06657802-n											
73wI_ya!H	noun	0	noun	00910891-n											
73wI_ya!H	noun	0	noun		Spinning_(textiles)										
73yu7a!H	noun	0	noun	03235488-n											
73yu7a!H	noun	0	noun	06402605-n											
73yW7a!H	noun	0	noun		Draft_document										
7A_ba!j	noun	0	noun		Cook_(profession)										
7A!_baq	noun	0	noun	04449965-n											
7A_bA!RAt	noun	0	noun		Annulus_(mathematics)										
7A!_blE7	noun	0	noun		Tablet_computer										
7A!_bu	noun	0	noun					הרשות_לרישום_והסדר_זכויות_מקרקעין							
7A_bu!r	noun	0	noun		Navel										
7A_buri!	noun	0	adjective	02851820-a											
7afe!l	noun	0	adjective	00797147-s											
7Ahára!n	noun	0	noun	10513622-n											
7Ahárani!	noun	0	adjective	10513622-n											
7Aháranu!t	noun	0	noun	07206610-n											
7AjánA!t mA!yIm	noun	0	noun		Watermill										
7AjánA!t qE!mAj	noun	0	noun		Gristmill										
7AjánA!t ru!jÁ	noun	0	noun	04594707-n											
7AjánA!t ru!jÁ	noun	0	noun	04594862-n											
7aju!n	noun	0	adjective	02029380-s						slang	contemporary				
7aju!n	noun	0	adjective										13610469a		
7aju!v	noun	0	adjective	01701085-s											
7A!l	noun	0	noun	14858302-n	Dew										
7alE!H	noun	0	noun		Aries_(constellation)										
7A_li!t	noun	0	noun		Tallit										
7A!lq	noun	0	noun	15090934-n											
7amAgWCi!	noun	0	noun		Tamagotchi										
7Ampu!raH	noun	0	noun		Tempura										
7AmpW!n	noun	0	noun		Tampon										
7aN_bu!	noun	0	noun		Taboo										
7A!nGaH	noun	0	noun												tanga-noun
7A!nGEns	noun	0	noun		Tangent_(trigonometry)										
7A!nGW	noun	0	noun		Tango										
7A!nq	noun	0	noun	04396120-n	Tank										
7A_pe!7	noun	0	noun	15118505-n											
7A_pE!7	noun	0	noun		Wallpaper										
7A_pi!l	noun	0	noun	10272371-n											
7A_pili!	noun	0	adjective	00730167-s											
7A_pi!r	noun	0	noun		Tapir										
7Aq7i!	noun	0	adjective	02962337-a											
7A!q7iqaH	noun	0	noun	06259098-n											
